,Frame Index,Frame Time,Task Name,File Frame Index,File Name,Loop_bleach Index,TimeLapse1 Index,loopAB Index,loopBC Index,loopCD Index,loopDE Index,loopEF Index,loopFG Index,loopGH Index,loopHI Index,loopIJ Index,loopJK Index,loopKL Index,loopLM Index,loopMN Index,loopNO Index,loopOP Index,loopP Index,Well Name,mode,mean,median
0,0,00:01:09,CaptureAB,0,WellA01_WellA01_Seq0001.nd2,0.0,,0.0,,,,,,,,,,,,,,,,A01,1475.0,1496.18693924,1461.0
1,1,00:01:10,CaptureAB,0,WellA02_WellA02_Seq0002.nd2,0.0,,1.0,,,,,,,,,,,,,,,,A02,1468.0,1531.1800499,1512.0
2,2,00:01:11,CaptureAB,0,WellA03_WellA03_Seq0003.nd2,0.0,,2.0,,,,,,,,,,,,,,,,A03,2876.0,3519.15453339,3353.0
3,3,00:01:12,CaptureAB,0,WellA04_WellA04_Seq0004.nd2,0.0,,3.0,,,,,,,,,,,,,,,,A04,2867.0,2968.15093613,2928.0
4,4,00:01:13,CaptureAB,0,WellA05_WellA05_Seq0005.nd2,0.0,,4.0,,,,,,,,,,,,,,,,A05,3046.0,3193.07236099,3109.0
5,5,00:01:14,CaptureAB,0,WellA06_WellA06_Seq0006.nd2,0.0,,5.0,,,,,,,,,,,,,,,,A06,2010.0,2540.56312561,2453.0
6,6,00:01:15,CaptureAB,0,WellA07_WellA07_Seq0007.nd2,0.0,,6.0,,,,,,,,,,,,,,,,A07,2137.0,2247.99038315,2230.0
7,7,00:01:16,CaptureAB,0,WellA08_WellA08_Seq0008.nd2,0.0,,7.0,,,,,,,,,,,,,,,,A08,1858.0,1975.35357285,1949.0
8,8,00:01:17,CaptureAB,0,WellA09_WellA09_Seq0009.nd2,0.0,,8.0,,,,,,,,,,,,,,,,A09,2386.0,2773.83272552,2664.0
9,9,00:01:18,CaptureAB,0,WellA10_WellA10_Seq0010.nd2,0.0,,9.0,,,,,,,,,,,,,,,,A10,2149.0,2469.15478134,2322.0
10,10,00:01:19,CaptureAB,0,WellA11_WellA11_Seq0011.nd2,0.0,,10.0,,,,,,,,,,,,,,,,A11,1294.0,1283.51187515,1271.0
11,11,00:01:20,CaptureAB,0,WellA12_WellA12_Seq0012.nd2,0.0,,11.0,,,,,,,,,,,,,,,,A12,1332.0,1343.61004257,1331.0
12,12,00:01:21,CaptureAB,0,WellA13_WellA13_Seq0013.nd2,0.0,,12.0,,,,,,,,,,,,,,,,A13,1916.0,1945.61536026,1926.0
13,13,00:01:22,CaptureAB,0,WellA14_WellA14_Seq0014.nd2,0.0,,13.0,,,,,,,,,,,,,,,,A14,1716.0,1774.68433762,1758.0
14,14,00:01:23,CaptureAB,0,WellA15_WellA15_Seq0015.nd2,0.0,,14.0,,,,,,,,,,,,,,,,A15,2044.0,2248.60341263,2199.0
15,15,00:01:24,CaptureAB,0,WellA16_WellA16_Seq0016.nd2,0.0,,15.0,,,,,,,,,,,,,,,,A16,1730.0,1813.25680161,1786.0
